"population_ID","species.updated","species","study_ID","reference_link","subset","trait","unit","mean","n","SD","comments","location","measurement_notes","pair_ID","sex","migratory","migratory.comments","feeding.type","feeding.type.comments","migratory.pop.level","feeding.type.pop.level","broader.comments","migratory.inc.vagrants.pop.level","migratory.inc.vagrants","species.updated.rep","effectsize_ID","yi","vi","CV","I","sex.num","migratory.pop.level.num","feeding.type.pop.level.num","migratory.inc.vagrants.pop.level.num"
"1","Acanthis flammea","Acanthis flammea islandica","Amouret et al. 2016","https://doi.org/10.1080/00063657.2015.1125850","new","wing length","mm",78.54,33,1.52,NA,"11 sampling sites in Iceland, see table 1","Not tracked","1","male","partially migratory","some populations are resident year-round","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Acanthis flammea",1,-3.92927271429168,0.0156363498845028,1.96579643118381,0.0374546188593733,1,-1,-1,-1
"1","Acanthis flammea","Acanthis flammea islandica","Amouret et al. 2016","https://doi.org/10.1080/00063657.2015.1125850","new","wing length","mm",77.17,47,1.95,NA,"11 sampling sites in Iceland, see table 1","Not tracked","1","female","partially migratory","some populations are resident year-round","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Acanthis flammea",2,-3.66731184267647,0.0108831506778978,2.55450468373857,0.0638516643807407,-1,-1,-1,-1
"2","Accipiter cooperii","Accipter cooperii","Marsh & Storer 1981","https://jeb.biologists.org/content/jexbio/91/1/363.full.pdf","R&E2013","wing length","mm",357,24,11.76,"Reported SE.male: 1.9, SE.female: 2.4, original SD.male: 8.7068938204161, SD.female: 11.7575507653592","No reference","Not tracked","8","female","partially migratory","some populations are resident year-round","fully aerial feeding","","non-migratory","fully aerial feeding","","non-migratory","partially migratory","Accipiter cooperii",3,-3.39129270887438,0.021784343814252,3.36651295468898,0.108512110726644,-1,-1,1,-1
"2","Accipiter cooperii","Accipter cooperii","Marsh & Storer 1981","https://jeb.biologists.org/content/jexbio/91/1/363.full.pdf","R&E2013","wing length","mm",314,21,8.71,"Reported SE.male: 1.9, SE.female: 2.4, original SD.male: 8.7068938204161, SD.female: 11.7575507653592","No reference","Not tracked","8","male","partially migratory","some populations are resident year-round","fully aerial feeding","","non-migratory","fully aerial feeding","","non-migratory","partially migratory","Accipiter cooperii",4,-3.55992119504384,0.0250366401901748,2.84410659228273,0.0769443993671143,1,-1,1,-1
"3","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Tarka et al. 2013","https://doi.org/10.1086/674072","new","wing length","mm",96.26,300,1.79,"Original reference: Tarka et al. 2013; ""Mean = mean of individual raw data means""; ""study included 557 unique birds (257 males and 300 females), out of which 44% were measured for morphology at least twice.""; reported df males = 410 and females = 480 (see table 2 and page 64)","Lake Kvismaren in southern central Sweden (59°10'N, 15°24'E),","""Wing length is measured from the carpal joint to the distal feather tip of a folded wing (Bensch et al. 1998)""","9","female","fully migratory","","partially aerial feeding","aerial and non-aerial","fully migratory","non-aerial feeding","","fully migratory","fully migratory","Acrocephalus arundinaceus",5,-3.98316500321962,0.00167339344109843,1.86265927197265,0.0345791526852464,-1,1,-1,1
"3","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Tarka et al. 2013","https://doi.org/10.1086/674072","new","wing length","mm",100.41,257,2.03,"Original reference: Tarka et al. 2013; ""Mean = mean of individual raw data means""; ""study included 557 unique birds (257 males and 300 females), out of which 44% were measured for morphology at least twice.""; reported df males = 410 and females = 480 (see table 2 and page 64)","Lake Kvismaren in southern central Sweden (59°10'N, 15°24'E),","""Wing length is measured from the carpal joint to the distal feather tip of a folded wing (Bensch et al. 1998)""","9","male","fully migratory","","partially aerial feeding","aerial and non-aerial","fully migratory","non-aerial feeding","","fully migratory","fully migratory","Acrocephalus arundinaceus",6,-3.89927288583765,0.00195471539506098,2.02566349784856,0.0408731530671463,1,1,-1,1
"4","Aegithalos caudatus","Aegithalos caudatus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",56,60,1.4,NA,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked","10","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Aegithalos caudatus",7,-3.68040487784275,0.00848499293785311,2.52127646786608,0.0625,-1,-1,-1,-1
"4","Aegithalos caudatus","Aegithalos caudatus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",57.8,69,1.0982,NA,"Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked","10","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Aegithalos caudatus",8,-3.95596335863923,0.00735817306052856,1.91402207681217,0.0361,1,-1,-1,-1
"5","Aegithalos concinnus","Aegithalos concinnus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",48.7,124,1.4,"Original SD.male: 1.26, SD.female: 1.4123","Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked","11","female","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Aegithalos concinnus",9,-3.54514175281692,0.00407170528685263,2.88645305911509,0.0826414919319135,-1,-1,-1,-1
"5","Aegithalos concinnus","Aegithalos concinnus","Li et al. 2010","https://doi.org/10.2108/zsj.27.946","R&E2013","wing length","mm",50.4,172,1.3,"Original SD.male: 1.26, SD.female: 1.4123","Dongzhai National Nature Reserve (31.95°N, 114.25°E)","Not tracked","11","male","non-migratory","","non-aerial feeding","","non-migratory","non-aerial feeding","","non-migratory","non-migratory","Aegithalos concinnus",10,-3.65470293400164,0.0029278447036596,2.58691811959628,0.0665312421264802,1,-1,-1,-1
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",100.36,298,2.17,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked","12","female","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus",11,-3.83235305226235,0.00168507053522221,2.16585918240594,0.0467517812717581,-1,-1,-1,-1
"6","Agelaius phoeniceus","Agelaius phoeniceus","Weatherhead & Clark 1994","https://doi.org/10.2307/2410367","R&E2013","wing length","mm",120.24,630,2.73,"Means of estimates of Table 2 wild birds (second-year and older birds) and table 4 autumn and spring; original measurments: mean.male: 120.592652219317, n.male: 630, SD.male: 2.8425776429093, mean.female: 100.009312529869, n.female: 316, SD.female: 2.10588627474726","Queen's University Biological Station, Ontario","Not tracked","12","male","partially migratory","some populations are resident year-round","partially aerial feeding","aerial and non-aerial","non-migratory","non-aerial feeding","","non-migratory","partially migratory","Agelaius phoeniceus",12,-3.78439322368823,0.000795730811117219,2.27226461580232,0.0515498444229306,1,-1,-1,-1
